image_id,n_cands,max_frag,max_digits
002283,2,1,34
002288,1,1,8
002291,1,1,8
002294,1,1,8
002298,1,1,8
002302,1,1,11
002305,1,1,8
002308,1,2,9
002312,1,1,8
002316,1,1,8
002320,1,1,15
002323,1,1,13
002326,2,2,12
002329,1,1,8
002333,1,1,7
002337,1,1,8
002341,2,2,19
002344,1,1,24
002348,1,1,8
002353,1,1,8
002356,1,1,9
002359,1,1,9
002362,1,1,29
002365,1,1,8
002368,1,1,17
002371,1,1,8
002374,1,1,6
002377,1,1,8
002380,1,1,14
002384,1,2,16
002387,1,1,8
002390,1,1,8
002393,1,0,11
002396,1,1,8
002399,1,0,6
002402,0,1,13
002405,1,1,8
002408,2,2,12
002411,1,1,23
002414,1,1,8
002419,1,1,12
002423,1,1,13
002426,1,1,13
002430,1,0,8
002434,1,1,9
002439,1,1,11
002442,1,1,13
002446,1,2,13
002450,0,1,10
002453,0,1,25
002456,2,1,8
002459,1,3,75
002462,1,1,8
002465,1,1,15
002470,1,1,8
002473,2,1,24
002476,1,1,15
002479,1,1,6
002482,1,1,8
002485,1,1,8
002488,1,1,10
002491,1,1,6
002494,1,2,18
002497,1,1,12
002501,1,1,11
002504,1,0,10
002507,1,1,10
002510,1,1,10
002514,1,1,18
002518,1,1,8
002521,1,1,8
002524,1,1,8
002527,1,1,8
002532,1,1,8
002535,1,2,22
002538,1,1,19
002541,1,1,63
002544,1,2,69
002550,1,1,12
002553,1,1,18
002556,1,1,11
002559,1,1,24
002562,1,1,14
002565,1,1,8
002568,1,1,8
002571,2,2,16
002575,1,1,39
002579,1,2,43
002582,1,1,9
002585,1,1,7
002590,1,1,13
002596,1,1,17
002600,1,1,8
002603,1,1,13
002611,1,1,8
002616,1,1,8
002619,1,1,8
002622,1,1,8
002625,1,2,40
002628,1,1,11
002632,1,2,38
002635,1,1,38
002638,1,4,54
002641,1,3,60
002645,2,1,43
002649,1,1,16
002655,1,1,6
002658,1,1,9
002661,2,1,11
002664,2,1,8
002669,1,2,20
002673,1,1,8
002676,1,1,13
002679,1,1,11
002682,1,2,29
002685,1,1,22
002688,1,1,26
002691,1,1,12
002695,1,1,18
002698,1,1,13
002702,1,1,26
002706,1,2,12
002709,1,1,10
002712,1,1,6
002715,1,1,13
002719,1,0,8
002722,1,0,40
002726,1,2,22
002729,1,1,30
002732,1,2,70
002735,1,1,10
002739,2,1,14
002743,1,1,22
002747,1,1,28
002750,1,1,13
002753,1,1,6
002756,1,1,24
002759,1,1,13
002763,1,1,14
002766,0,1,14
002769,1,1,12
002772,1,1,12
002775,0,0,4
002778,1,1,22
002781,1,1,6
002785,1,1,28
002789,1,1,27
002792,1,1,12
002795,1,1,8
002798,0,3,17
002803,1,2,12
002807,1,1,13
002810,1,1,20
002815,2,3,30
002818,1,1,17
002821,1,2,23
002824,1,2,13
002829,1,1,9
002832,1,1,9
002836,2,1,13
002841,1,1,16
002844,1,1,9
002847,2,1,8
002850,1,2,54
002853,1,2,20
002856,1,1,58
002860,1,1,12
002863,0,1,18
002868,1,2,42
002871,1,1,12
002876,1,1,16
002880,2,4,25
002883,1,1,13
002886,1,1,8
002890,1,4,93
002894,1,1,8
002897,1,1,9
002900,1,0,8
002903,1,1,10
002906,1,2,15
002909,1,1,8
002912,1,2,10
002915,1,1,8
002919,1,1,8
002923,1,1,9
002928,2,1,9
002933,1,2,19
002936,1,1,9
002939,1,1,16
002942,1,0,8
002945,1,1,14
002949,1,1,13
002952,1,1,15
002957,1,2,13
002960,1,2,22
002963,1,1,9
002967,1,0,6
002971,1,1,10
002974,2,1,8
002977,2,2,20
002980,1,1,13
002983,1,1,11
002986,1,1,8
002989,1,2,39
002993,1,1,8
002996,1,1,14
003000,1,1,8
003003,1,1,13
003006,1,1,8
003009,1,2,11
003013,1,0,15
003016,1,1,11
003020,1,1,13
003024,1,1,9
003027,1,1,9
003030,1,1,40
003033,1,0,14
003037,1,2,19
003040,1,1,9
003044,1,1,38
003047,1,1,8
003051,2,1,13
003054,1,3,59
003057,1,1,8
003060,0,1,11
003064,1,1,9
003067,1,1,6
003071,1,1,29
003075,1,1,21
003078,1,1,10
003082,3,2,18
003085,1,1,11
003089,1,2,91
003092,2,1,46
003095,1,1,8
003098,1,1,13
003101,1,2,32
003104,1,2,12
003107,1,1,11
003110,1,2,18
003113,1,1,15
003117,1,1,52
003120,1,1,26
003124,1,1,8
003127,1,1,7
003130,1,2,22
003133,1,1,8
003136,1,1,11
003140,2,1,11
003143,3,2,16
003146,1,1,9
003149,1,1,23
003153,1,1,12
003156,1,1,15
003159,1,1,8
003162,1,1,8
003165,0,1,15
003168,1,2,15
003172,2,1,13
003176,1,1,8
003179,1,1,8
003183,1,1,9
003186,2,1,6
003189,1,0,11
003193,1,2,22
003196,2,0,6
003200,1,1,8
003203,1,1,11
003207,1,2,12
003210,1,2,60
003213,1,1,6
003216,1,2,14
003219,1,7,148
003222,1,1,13
003225,3,2,15
003229,1,1,11
003232,1,1,6
003236,1,1,13
003240,2,3,28
003243,1,1,25
003247,1,1,28
003251,1,1,20
003254,1,1,10
003258,1,0,20
003261,1,1,8
003264,1,1,9
003268,1,2,52
003271,1,2,26
003274,1,1,25
003277,1,1,5
003280,1,1,40
003283,2,1,57
003287,2,2,22
003290,1,1,8
003296,2,2,21
003299,2,1,17
003302,1,2,37
003309,1,1,12
003314,1,1,19
003318,1,1,8
003323,1,1,8
003327,1,0,13
003330,1,1,18
003334,1,1,9
003337,1,1,10
003340,1,1,19
003343,1,0,7
003348,1,2,40
003351,1,2,14
